CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Gender_Female,Gender_Male,Geography_France,Geography_Germany,Geography_Spain
683.0,49.0,7.0,123837.86,2.0,1.0,1.0,138700.75,1.0,0,1,0,1,0
608.0,30.0,10.0,0.0,2.0,1.0,1.0,146723.72,0.0,1,0,1,0,0
539.0,32.0,8.0,0.0,1.0,1.0,1.0,94873.6,0.0,1,0,1,0,0
530.0,39.0,8.0,0.0,2.0,0.0,0.0,177896.93,0.0,1,0,0,0,1
613.0,45.0,10.0,0.0,2.0,1.0,1.0,116748.14,0.0,1,0,1,0,0
656.0,33.0,7.0,98899.76,1.0,1.0,0.0,123597.93,0.0,0,1,1,0,0
758.0,40.0,10.0,0.0,2.0,0.0,1.0,158043.11,0.0,1,0,0,0,1
549.0,53.0,8.0,0.0,1.0,0.0,0.0,80181.19,1.0,0,1,1,0,0
704.0,49.0,9.0,80793.58,1.0,1.0,0.0,101371.72,0.0,1,0,0,0,1
681.0,34.0,9.0,117799.28,2.0,1.0,1.0,120736.04,0.0,0,1,0,1,0
683.0,46.0,3.0,0.0,2.0,1.0,1.0,98810.78,0.0,1,0,0,0,1
686.0,53.0,10.0,0.0,1.0,0.0,0.0,86460.28,1.0,0,1,1,0,0
689.0,32.0,6.0,0.0,1.0,1.0,1.0,141453.62,0.0,0,1,1,0,0
744.0,38.0,8.0,132906.88,2.0,1.0,1.0,141756.32,0.0,1,0,0,1,0
717.0,47.0,0.0,109733.4,1.0,1.0,1.0,172363.41,0.0,0,1,0,0,1
708.0,38.0,5.0,141675.23,2.0,1.0,1.0,52327.57,0.0,0,1,1,0,0
724.0,47.0,1.0,0.0,2.0,1.0,0.0,141863.77,0.0,0,1,1,0,0
775.0,38.0,3.0,0.0,1.0,1.0,1.0,131768.98,0.0,0,1,1,0,0
663.0,50.0,4.0,107556.06,3.0,0.0,0.0,170886.89,1.0,0,1,0,1,0
684.0,35.0,0.0,0.0,2.0,0.0,1.0,183566.78,0.0,0,1,1,0,0
553.0,31.0,8.0,96949.81,2.0,1.0,0.0,123613.81,0.0,1,0,1,0,0
683.0,40.0,1.0,0.0,1.0,1.0,0.0,51670.82,0.0,1,0,1,0,0
598.0,43.0,5.0,107879.03,1.0,1.0,0.0,184980.23,1.0,1,0,0,1,0
656.0,29.0,6.0,0.0,2.0,0.0,1.0,92888.52,0.0,0,1,1,0,0
705.0,42.0,5.0,0.0,2.0,1.0,0.0,12761.92,0.0,1,0,1,0,0
714.0,31.0,7.0,107571.61,1.0,0.0,0.0,67611.36,0.0,0,1,0,0,1
565.0,45.0,6.0,0.0,1.0,1.0,0.0,187905.12,1.0,1,0,1,0,0
707.0,32.0,3.0,0.0,2.0,0.0,1.0,170621.43,0.0,1,0,0,0,1
724.0,32.0,4.0,0.0,1.0,0.0,0.0,185211.28,0.0,1,0,1,0,0
607.0,39.0,7.0,0.0,2.0,1.0,0.0,172576.43,0.0,0,1,1,0,0
762.0,32.0,1.0,0.0,2.0,1.0,1.0,161668.15,0.0,0,1,0,0,1
744.0,33.0,5.0,0.0,2.0,1.0,0.0,83052.03,0.0,0,1,1,0,0
687.0,40.0,6.0,0.0,2.0,1.0,1.0,112777.38,0.0,0,1,0,0,1
696.0,35.0,4.0,0.0,2.0,0.0,1.0,151481.86,0.0,0,1,1,0,0
528.0,37.0,5.0,0.0,2.0,1.0,0.0,83478.12,0.0,1,0,1,0,0
596.0,27.0,8.0,0.0,1.0,1.0,0.0,54776.64,0.0,1,0,1,0,0
558.0,51.0,2.0,108166.09,2.0,1.0,1.0,19199.61,0.0,0,1,0,1,0
686.0,35.0,1.0,0.0,2.0,1.0,1.0,52319.26,0.0,0,1,1,0,0
678.0,32.0,8.0,164852.89,1.0,1.0,1.0,142911.99,0.0,1,0,1,0,0
729.0,42.0,7.0,116465.53,1.0,1.0,0.0,105599.65,1.0,1,0,0,1,0
554.0,32.0,7.0,0.0,1.0,1.0,0.0,183682.09,0.0,1,0,1,0,0
581.0,35.0,5.0,0.0,2.0,1.0,1.0,72375.03,0.0,0,1,1,0,0
706.0,21.0,4.0,0.0,2.0,1.0,1.0,52314.71,0.0,0,1,1,0,0
628.0,40.0,2.0,0.0,2.0,1.0,0.0,179866.01,0.0,0,1,0,0,1
633.0,46.0,5.0,0.0,4.0,1.0,0.0,114775.53,1.0,1,0,1,0,0
749.0,34.0,3.0,0.0,2.0,1.0,0.0,75927.35,0.0,1,0,1,0,0
582.0,36.0,2.0,0.0,2.0,1.0,0.0,177834.79,0.0,1,0,1,0,0
642.0,33.0,5.0,102788.53,2.0,1.0,0.0,145558.42,0.0,0,1,0,1,0
821.0,28.0,4.0,0.0,2.0,0.0,1.0,131736.23,0.0,0,1,1,0,0
548.0,37.0,10.0,0.0,2.0,1.0,0.0,180197.74,0.0,0,1,1,0,0
648.0,38.0,4.0,152799.55,1.0,1.0,1.0,175795.87,0.0,0,1,0,1,0
674.0,46.0,9.0,0.0,1.0,1.0,0.0,93820.49,1.0,0,1,1,0,0
716.0,31.0,4.0,0.0,2.0,1.0,0.0,121866.87,0.0,0,1,1,0,0
654.0,33.0,5.0,0.0,2.0,0.0,0.0,171345.02,0.0,0,1,1,0,0
720.0,29.0,7.0,0.0,2.0,1.0,1.0,114072.91,0.0,0,1,1,0,0
721.0,32.0,7.0,0.0,2.0,1.0,1.0,135077.01,0.0,1,0,1,0,0
749.0,32.0,2.0,0.0,2.0,1.0,1.0,115611.97,0.0,0,1,1,0,0
641.0,32.0,4.0,117271.8,2.0,1.0,1.0,120107.1,0.0,0,1,0,1,0
641.0,26.0,5.0,98630.31,1.0,1.0,1.0,147040.25,1.0,1,0,0,1,0
652.0,50.0,7.0,101675.22,4.0,1.0,1.0,63737.19,1.0,1,0,1,0,0
741.0,40.0,1.0,0.0,2.0,1.0,0.0,121138.77,1.0,0,1,0,0,1
583.0,36.0,6.0,0.0,2.0,1.0,0.0,126561.07,0.0,1,0,1,0,0
662.0,36.0,5.0,0.0,2.0,1.0,0.0,146636.44,0.0,0,1,0,0,1
592.0,40.0,8.0,131834.76,1.0,1.0,1.0,142903.44,0.0,0,1,0,0,1
585.0,47.0,7.0,0.0,2.0,0.0,0.0,90876.95,0.0,1,0,0,0,1
586.0,33.0,6.0,0.0,2.0,1.0,1.0,166677.54,0.0,0,1,1,0,0
554.0,50.0,1.0,0.0,1.0,1.0,0.0,143681.83,1.0,1,0,1,0,0
694.0,42.0,3.0,141927.1,1.0,1.0,0.0,98820.09,0.0,0,1,0,0,1
712.0,49.0,9.0,146580.69,1.0,1.0,1.0,49865.04,1.0,1,0,1,0,0
686.0,59.0,9.0,106088.59,1.0,0.0,0.0,119969.99,1.0,1,0,0,1,0
756.0,36.0,7.0,0.0,2.0,0.0,1.0,114448.77,0.0,0,1,0,0,1
718.0,35.0,1.0,0.0,2.0,1.0,1.0,103557.85,0.0,1,0,1,0,0
589.0,48.0,8.0,0.0,1.0,0.0,0.0,90162.35,1.0,1,0,1,0,0
684.0,40.0,9.0,0.0,1.0,1.0,1.0,138743.86,0.0,0,1,1,0,0
805.0,42.0,10.0,0.0,1.0,1.0,1.0,157564.75,0.0,0,1,1,0,0
718.0,28.0,10.0,138878.81,1.0,1.0,1.0,110230.4,0.0,1,0,1,0,0
730.0,37.0,5.0,0.0,1.0,1.0,1.0,80130.54,0.0,0,1,1,0,0
573.0,43.0,9.0,0.0,2.0,1.0,1.0,71173.64,0.0,0,1,1,0,0
699.0,29.0,5.0,0.0,2.0,1.0,1.0,63737.19,0.0,0,1,0,0,1
582.0,42.0,5.0,0.0,2.0,1.0,0.0,131647.31,0.0,0,1,1,0,0
498.0,36.0,3.0,0.0,2.0,1.0,0.0,27380.99,0.0,1,0,1,0,0
584.0,38.0,5.0,0.0,2.0,1.0,0.0,64448.36,0.0,0,1,1,0,0
773.0,48.0,8.0,103421.91,1.0,1.0,1.0,102547.02,0.0,1,0,1,0,0
656.0,36.0,1.0,0.0,2.0,1.0,0.0,100995.68,0.0,0,1,1,0,0
572.0,45.0,2.0,0.0,2.0,1.0,0.0,173495.77,0.0,1,0,0,0,1
605.0,40.0,9.0,137847.41,1.0,1.0,0.0,199661.5,1.0,1,0,0,0,1
653.0,39.0,5.0,0.0,2.0,0.0,1.0,180329.83,0.0,1,0,1,0,0
689.0,40.0,5.0,0.0,1.0,1.0,0.0,138380.11,0.0,0,1,1,0,0
684.0,51.0,1.0,107787.47,1.0,1.0,0.0,85983.54,1.0,0,1,0,0,1
695.0,25.0,8.0,0.0,1.0,0.0,1.0,101839.77,0.0,0,1,0,0,1
690.0,29.0,6.0,119278.01,2.0,1.0,0.0,133580.75,0.0,0,1,1,0,0
659.0,33.0,8.0,0.0,2.0,1.0,1.0,73686.75,0.0,0,1,1,0,0
586.0,33.0,6.0,0.0,1.0,0.0,1.0,120853.85,1.0,1,0,0,0,1
639.0,32.0,6.0,0.0,2.0,1.0,0.0,61792.76,0.0,0,1,1,0,0
686.0,51.0,2.0,0.0,1.0,1.0,1.0,115818.51,1.0,1,0,1,0,0
553.0,45.0,5.0,137864.3,1.0,1.0,0.0,152880.99,1.0,0,1,0,1,0
684.0,55.0,1.0,74896.92,1.0,1.0,0.0,56794.73,1.0,0,1,1,0,0
752.0,32.0,4.0,0.0,2.0,1.0,1.0,91844.14,0.0,0,1,1,0,0
689.0,49.0,9.0,0.0,2.0,0.0,0.0,70849.47,0.0,0,1,1,0,0
619.0,42.0,6.0,0.0,2.0,0.0,1.0,93820.49,0.0,1,0,1,0,0
683.0,30.0,4.0,92887.06,1.0,0.0,0.0,135034.43,0.0,0,1,1,0,0
553.0,64.0,2.0,0.0,1.0,1.0,1.0,111346.22,0.0,1,0,1,0,0
710.0,39.0,7.0,0.0,2.0,1.0,0.0,138881.04,0.0,1,0,1,0,0
744.0,48.0,10.0,170840.08,1.0,1.0,1.0,56787.8,1.0,1,0,0,1,0
