CreditScore,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Gender_Male,Geography_Germany,Geography_Spain
683.0,49.0,7.0,2.0,1.0,1.0,138700.75,1.0,1,1,0
608.0,30.0,10.0,2.0,1.0,1.0,146723.72,0.0,0,0,0
539.0,32.0,8.0,1.0,1.0,1.0,94873.6,0.0,0,0,0
530.0,39.0,8.0,2.0,0.0,0.0,177896.93,0.0,0,0,1
613.0,45.0,10.0,2.0,1.0,1.0,116748.14,0.0,0,0,0
656.0,33.0,7.0,1.0,1.0,0.0,123597.93,0.0,1,0,0
758.0,40.0,10.0,2.0,0.0,1.0,158043.11,0.0,0,0,1
549.0,53.0,8.0,1.0,0.0,0.0,80181.19,1.0,1,0,0
704.0,49.0,9.0,1.0,1.0,0.0,101371.72,0.0,0,0,1
681.0,34.0,9.0,2.0,1.0,1.0,120736.04,0.0,1,1,0
683.0,46.0,3.0,2.0,1.0,1.0,98810.78,0.0,0,0,1
686.0,53.0,10.0,1.0,0.0,0.0,86460.28,1.0,1,0,0
689.0,32.0,6.0,1.0,1.0,1.0,141453.62,0.0,1,0,0
744.0,38.0,8.0,2.0,1.0,1.0,141756.32,0.0,0,1,0
717.0,47.0,0.0,1.0,1.0,1.0,172363.41,0.0,1,0,1
708.0,38.0,5.0,2.0,1.0,1.0,52327.57,0.0,1,0,0
724.0,47.0,1.0,2.0,1.0,0.0,141863.77,0.0,1,0,0
775.0,38.0,3.0,1.0,1.0,1.0,131768.98,0.0,1,0,0
663.0,50.0,4.0,3.0,0.0,0.0,170886.89,1.0,1,1,0
684.0,35.0,0.0,2.0,0.0,1.0,183566.78,0.0,1,0,0
553.0,31.0,8.0,2.0,1.0,0.0,123613.81,0.0,0,0,0
683.0,40.0,1.0,1.0,1.0,0.0,51670.82,0.0,0,0,0
598.0,43.0,5.0,1.0,1.0,0.0,184980.23,1.0,0,1,0
656.0,29.0,6.0,2.0,0.0,1.0,92888.52,0.0,1,0,0
705.0,42.0,5.0,2.0,1.0,0.0,12761.92,0.0,0,0,0
714.0,31.0,7.0,1.0,0.0,0.0,67611.36,0.0,1,0,1
565.0,45.0,6.0,1.0,1.0,0.0,187905.12,1.0,0,0,0
707.0,32.0,3.0,2.0,0.0,1.0,170621.43,0.0,0,0,1
724.0,32.0,4.0,1.0,0.0,0.0,185211.28,0.0,0,0,0
607.0,39.0,7.0,2.0,1.0,0.0,172576.43,0.0,1,0,0
762.0,32.0,1.0,2.0,1.0,1.0,161668.15,0.0,1,0,1
744.0,33.0,5.0,2.0,1.0,0.0,83052.03,0.0,1,0,0
687.0,40.0,6.0,2.0,1.0,1.0,112777.38,0.0,1,0,1
696.0,35.0,4.0,2.0,0.0,1.0,151481.86,0.0,1,0,0
528.0,37.0,5.0,2.0,1.0,0.0,83478.12,0.0,0,0,0
596.0,27.0,8.0,1.0,1.0,0.0,54776.64,0.0,0,0,0
558.0,51.0,2.0,2.0,1.0,1.0,19199.61,0.0,1,1,0
686.0,35.0,1.0,2.0,1.0,1.0,52319.26,0.0,1,0,0
678.0,32.0,8.0,1.0,1.0,1.0,142911.99,0.0,0,0,0
729.0,42.0,7.0,1.0,1.0,0.0,105599.65,1.0,0,1,0
554.0,32.0,7.0,1.0,1.0,0.0,183682.09,0.0,0,0,0
581.0,35.0,5.0,2.0,1.0,1.0,72375.03,0.0,1,0,0
706.0,21.0,4.0,2.0,1.0,1.0,52314.71,0.0,1,0,0
628.0,40.0,2.0,2.0,1.0,0.0,179866.01,0.0,1,0,1
